"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"5759",-0.5,"Native 1",45,"continuation","fp","continuation fp",1,0,386,386,0.5,-0.5
"5760",-0.5,"Native 1",29,"continuation","fp","continuation fp",1,0,180,180,0.5,-0.5
"5763",-0.5,"Native 1",34,"continuation","fp","continuation fp",2,0,149,149,-0.5,-0.5
"5766",-0.5,"Native 1",36,"continuation","fp","continuation fp",4,0,375,375,-0.5,0.5
"5768",-0.5,"Native 1",25,"continuation","fp","continuation fp",1,0,457,457,0.5,-0.5
"5770",-0.5,"Native 1",42,"continuation","fp","continuation fp",2,0,566,566,-0.5,-0.5
"5774",-0.5,"Native 1",41,"continuation","fp","continuation fp",1,0,389,389,0.5,-0.5
"5776",-0.5,"Native 1",46,"continuation","fp","continuation fp",2,0,164,164,-0.5,-0.5
"5778",-0.5,"Native 1",47,"continuation","fp","continuation fp",3,0,743,743,0.5,0.5
"5780",-0.5,"Native 1",39,"continuation","fp","continuation fp",3,0,663,663,0.5,0.5
"5781",-0.5,"Native 1",35,"continuation","fp","continuation fp",3,0,466,466,0.5,0.5
"5783",-0.5,"Native 1",48,"continuation","fp","continuation fp",4,0,928,928,-0.5,0.5
"5784",-0.5,"Native 1",27,"continuation","fp","continuation fp",3,0,478,478,0.5,0.5
"5786",-0.5,"Native 1",31,"continuation","fp","continuation fp",3,0,291,291,0.5,0.5
"5789",-0.5,"Native 1",40,"continuation","fp","continuation fp",4,0,206,206,-0.5,0.5
"5790",-0.5,"Native 1",38,"continuation","fp","continuation fp",2,0,272,272,-0.5,-0.5
"5791",-0.5,"Native 1",30,"continuation","fp","continuation fp",2,0,213,213,-0.5,-0.5
"5793",-0.5,"Native 1",32,"continuation","fp","continuation fp",4,0,439,439,-0.5,0.5
"5797",-0.5,"Native 1",44,"continuation","fp","continuation fp",4,0,957,957,-0.5,0.5
"5798",-0.5,"Native 1",37,"continuation","fp","continuation fp",1,0,144,144,0.5,-0.5
"5799",-0.5,"Native 1",28,"continuation","fp","continuation fp",4,0,265,265,-0.5,0.5
"5802",-0.5,"Native 1",26,"continuation","fp","continuation fp",2,0,576,576,-0.5,-0.5
"5803",-0.5,"Native 1",33,"continuation","fp","continuation fp",1,0,532,532,0.5,-0.5
"5805",-0.5,"Native 1",43,"continuation","fp","continuation fp",3,0,454,454,0.5,0.5
"5806",-0.5,"Native 2",45,"continuation","fp","continuation fp",2,1,0,NA,-0.5,-0.5
"5807",-0.5,"Native 2",39,"continuation","fp","continuation fp",4,0,378,378,-0.5,0.5
"5808",-0.5,"Native 2",48,"continuation","fp","continuation fp",1,0,383,383,0.5,-0.5
"5814",-0.5,"Native 2",32,"continuation","fp","continuation fp",1,0,209,209,0.5,-0.5
"5815",-0.5,"Native 2",26,"continuation","fp","continuation fp",3,0,658,658,0.5,0.5
"5816",-0.5,"Native 2",42,"continuation","fp","continuation fp",3,0,1257,1257,0.5,0.5
"5819",-0.5,"Native 2",37,"continuation","fp","continuation fp",2,0,247,247,-0.5,-0.5
"5820",-0.5,"Native 2",31,"continuation","fp","continuation fp",4,0,98,98,-0.5,0.5
"5823",-0.5,"Native 2",25,"continuation","fp","continuation fp",2,1,0,NA,-0.5,-0.5
"5824",-0.5,"Native 2",38,"continuation","fp","continuation fp",3,0,269,269,0.5,0.5
"5825",-0.5,"Native 2",35,"continuation","fp","continuation fp",4,0,119,119,-0.5,0.5
"5826",-0.5,"Native 2",41,"continuation","fp","continuation fp",2,0,149,149,-0.5,-0.5
"5828",-0.5,"Native 2",34,"continuation","fp","continuation fp",3,0,292,292,0.5,0.5
"5829",-0.5,"Native 2",43,"continuation","fp","continuation fp",4,0,275,275,-0.5,0.5
"5831",-0.5,"Native 2",33,"continuation","fp","continuation fp",2,0,459,459,-0.5,-0.5
"5832",-0.5,"Native 2",40,"continuation","fp","continuation fp",1,0,632,632,0.5,-0.5
"5835",-0.5,"Native 2",30,"continuation","fp","continuation fp",3,0,478,478,0.5,0.5
"5836",-0.5,"Native 2",27,"continuation","fp","continuation fp",4,0,552,552,-0.5,0.5
"5839",-0.5,"Native 2",36,"continuation","fp","continuation fp",1,0,443,443,0.5,-0.5
"5840",-0.5,"Native 2",28,"continuation","fp","continuation fp",1,0,689,689,0.5,-0.5
"5844",-0.5,"Native 2",44,"continuation","fp","continuation fp",1,0,472,472,0.5,-0.5
