"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"15354",-0.5,"Native 1",45,"continuation","rp","continuation rp",1,0,687,687,0.5,-0.5
"15355",-0.5,"Native 1",29,"continuation","rp","continuation rp",1,0,1421,1421,0.5,-0.5
"15358",-0.5,"Native 1",34,"continuation","rp","continuation rp",2,0,881,881,-0.5,-0.5
"15361",-0.5,"Native 1",36,"continuation","rp","continuation rp",4,0,375,375,-0.5,0.5
"15363",-0.5,"Native 1",25,"continuation","rp","continuation rp",1,0,457,457,0.5,-0.5
"15365",-0.5,"Native 1",42,"continuation","rp","continuation rp",2,0,566,566,-0.5,-0.5
"15369",-0.5,"Native 1",41,"continuation","rp","continuation rp",1,0,1012,1012,0.5,-0.5
"15371",-0.5,"Native 1",46,"continuation","rp","continuation rp",2,0,610,610,-0.5,-0.5
"15373",-0.5,"Native 1",47,"continuation","rp","continuation rp",3,0,1753,1753,0.5,0.5
"15375",-0.5,"Native 1",39,"continuation","rp","continuation rp",3,0,663,663,0.5,0.5
"15376",-0.5,"Native 1",35,"continuation","rp","continuation rp",3,0,1183,1183,0.5,0.5
"15378",-0.5,"Native 1",48,"continuation","rp","continuation rp",4,0,928,928,-0.5,0.5
"15379",-0.5,"Native 1",27,"continuation","rp","continuation rp",3,0,478,478,0.5,0.5
"15381",-0.5,"Native 1",31,"continuation","rp","continuation rp",3,0,291,291,0.5,0.5
"15384",-0.5,"Native 1",40,"continuation","rp","continuation rp",4,0,206,206,-0.5,0.5
"15385",-0.5,"Native 1",38,"continuation","rp","continuation rp",2,0,272,272,-0.5,-0.5
"15386",-0.5,"Native 1",30,"continuation","rp","continuation rp",2,0,1175,1175,-0.5,-0.5
"15388",-0.5,"Native 1",32,"continuation","rp","continuation rp",4,0,439,439,-0.5,0.5
"15392",-0.5,"Native 1",44,"continuation","rp","continuation rp",4,0,957,957,-0.5,0.5
"15393",-0.5,"Native 1",37,"continuation","rp","continuation rp",1,0,1090,1090,0.5,-0.5
"15394",-0.5,"Native 1",28,"continuation","rp","continuation rp",4,0,265,265,-0.5,0.5
"15397",-0.5,"Native 1",26,"continuation","rp","continuation rp",2,0,576,576,-0.5,-0.5
"15398",-0.5,"Native 1",33,"continuation","rp","continuation rp",1,0,532,532,0.5,-0.5
"15400",-0.5,"Native 1",43,"continuation","rp","continuation rp",3,0,454,454,0.5,0.5
"15401",-0.5,"Native 2",45,"continuation","rp","continuation rp",2,1,0,NA,-0.5,-0.5
"15402",-0.5,"Native 2",39,"continuation","rp","continuation rp",4,0,378,378,-0.5,0.5
"15403",-0.5,"Native 2",48,"continuation","rp","continuation rp",1,0,383,383,0.5,-0.5
"15409",-0.5,"Native 2",32,"continuation","rp","continuation rp",1,0,209,209,0.5,-0.5
"15410",-0.5,"Native 2",26,"continuation","rp","continuation rp",3,0,658,658,0.5,0.5
"15411",-0.5,"Native 2",42,"continuation","rp","continuation rp",3,0,1257,1257,0.5,0.5
"15414",-0.5,"Native 2",37,"continuation","rp","continuation rp",2,0,709,709,-0.5,-0.5
"15415",-0.5,"Native 2",31,"continuation","rp","continuation rp",4,0,1160,1160,-0.5,0.5
"15418",-0.5,"Native 2",25,"continuation","rp","continuation rp",2,1,0,NA,-0.5,-0.5
"15419",-0.5,"Native 2",38,"continuation","rp","continuation rp",3,0,269,269,0.5,0.5
"15420",-0.5,"Native 2",35,"continuation","rp","continuation rp",4,0,8702,8702,-0.5,0.5
"15421",-0.5,"Native 2",41,"continuation","rp","continuation rp",2,0,149,149,-0.5,-0.5
"15423",-0.5,"Native 2",34,"continuation","rp","continuation rp",3,0,292,292,0.5,0.5
"15424",-0.5,"Native 2",43,"continuation","rp","continuation rp",4,0,275,275,-0.5,0.5
"15426",-0.5,"Native 2",33,"continuation","rp","continuation rp",2,0,459,459,-0.5,-0.5
"15427",-0.5,"Native 2",40,"continuation","rp","continuation rp",1,0,632,632,0.5,-0.5
"15430",-0.5,"Native 2",30,"continuation","rp","continuation rp",3,0,478,478,0.5,0.5
"15431",-0.5,"Native 2",27,"continuation","rp","continuation rp",4,0,552,552,-0.5,0.5
"15434",-0.5,"Native 2",36,"continuation","rp","continuation rp",1,0,443,443,0.5,-0.5
"15435",-0.5,"Native 2",28,"continuation","rp","continuation rp",1,0,689,689,0.5,-0.5
"15439",-0.5,"Native 2",44,"continuation","rp","continuation rp",1,0,472,472,0.5,-0.5
"15440",-0.5,"Native 2",29,"continuation","rp","continuation rp",2,0,1135,1135,-0.5,-0.5
"15444",-0.5,"Native 2",47,"continuation","rp","continuation rp",4,0,1924,1924,-0.5,0.5
"15446",-0.5,"Native 2",46,"continuation","rp","continuation rp",3,0,960,960,0.5,0.5
"15449",-0.5,"Native 3",46,"continuation","rp","continuation rp",4,0,674,674,-0.5,0.5
"15450",-0.5,"Native 3",43,"continuation","rp","continuation rp",1,0,424,424,0.5,-0.5
"15452",-0.5,"Native 3",39,"continuation","rp","continuation rp",1,0,541,541,0.5,-0.5
"15453",-0.5,"Native 3",33,"continuation","rp","continuation rp",3,0,1114,1114,0.5,0.5
"15455",-0.5,"Native 3",31,"continuation","rp","continuation rp",1,0,415,415,0.5,-0.5
"15456",-0.5,"Native 3",29,"continuation","rp","continuation rp",3,0,393,393,0.5,0.5
"15457",-0.5,"Native 3",44,"continuation","rp","continuation rp",2,0,353,353,-0.5,-0.5
"15462",-0.5,"Native 3",27,"continuation","rp","continuation rp",1,0,628,628,0.5,-0.5
"15465",-0.5,"Native 3",45,"continuation","rp","continuation rp",3,0,605,605,0.5,0.5
"15466",-0.5,"Native 3",37,"continuation","rp","continuation rp",3,0,482,482,0.5,0.5
"15467",-0.5,"Native 3",36,"continuation","rp","continuation rp",2,1,0,NA,-0.5,-0.5
"15468",-0.5,"Native 3",32,"continuation","rp","continuation rp",2,0,993,993,-0.5,-0.5
"15469",-0.5,"Native 3",25,"continuation","rp","continuation rp",3,0,343,343,0.5,0.5
"15470",-0.5,"Native 3",26,"continuation","rp","continuation rp",4,0,340,340,-0.5,0.5
"15471",-0.5,"Native 3",30,"continuation","rp","continuation rp",4,0,296,296,-0.5,0.5
"15472",-0.5,"Native 3",28,"continuation","rp","continuation rp",2,0,974,974,-0.5,-0.5
"15476",-0.5,"Native 3",47,"continuation","rp","continuation rp",1,0,986,986,0.5,-0.5
"15482",-0.5,"Native 3",48,"continuation","rp","continuation rp",2,0,1034,1034,-0.5,-0.5
"15484",-0.5,"Native 3",34,"continuation","rp","continuation rp",4,0,395,395,-0.5,0.5
"15485",-0.5,"Native 3",38,"continuation","rp","continuation rp",4,0,967,967,-0.5,0.5
"15486",-0.5,"Native 3",42,"continuation","rp","continuation rp",4,0,358,358,-0.5,0.5
"15487",-0.5,"Native 3",35,"continuation","rp","continuation rp",1,0,399,399,0.5,-0.5
"15491",-0.5,"Native 3",40,"continuation","rp","continuation rp",2,0,816,816,-0.5,-0.5
"15494",-0.5,"Native 3",41,"continuation","rp","continuation rp",3,0,654,654,0.5,0.5
"15499",-0.5,"Native 4",39,"continuation","rp","continuation rp",2,0,1493,1493,-0.5,-0.5
"15500",-0.5,"Native 4",27,"continuation","rp","continuation rp",2,0,1027,1027,-0.5,-0.5
"15503",-0.5,"Native 4",40,"continuation","rp","continuation rp",3,0,155,155,0.5,0.5
"15504",-0.5,"Native 4",38,"continuation","rp","continuation rp",1,0,935,935,0.5,-0.5
"15506",-0.5,"Native 4",37,"continuation","rp","continuation rp",4,0,1056,1056,-0.5,0.5
"15509",-0.5,"Native 4",26,"continuation","rp","continuation rp",1,0,1300,1300,0.5,-0.5
"15512",-0.5,"Native 4",33,"continuation","rp","continuation rp",4,0,693,693,-0.5,0.5
"15513",-0.5,"Native 4",47,"continuation","rp","continuation rp",2,0,2128,2128,-0.5,-0.5
"15516",-0.5,"Native 4",45,"continuation","rp","continuation rp",4,0,581,581,-0.5,0.5
"15517",-0.5,"Native 4",36,"continuation","rp","continuation rp",3,0,175,175,0.5,0.5
"15518",-0.5,"Native 4",46,"continuation","rp","continuation rp",1,0,990,990,0.5,-0.5
"15521",-0.5,"Native 4",35,"continuation","rp","continuation rp",2,0,1131,1131,-0.5,-0.5
"15522",-0.5,"Native 4",48,"continuation","rp","continuation rp",3,0,502,502,0.5,0.5
"15523",-0.5,"Native 4",41,"continuation","rp","continuation rp",4,0,887,887,-0.5,0.5
"15524",-0.5,"Native 4",30,"continuation","rp","continuation rp",1,0,688,688,0.5,-0.5
"15525",-0.5,"Native 4",42,"continuation","rp","continuation rp",1,0,919,919,0.5,-0.5
"15526",-0.5,"Native 4",44,"continuation","rp","continuation rp",3,0,975,975,0.5,0.5
"15527",-0.5,"Native 4",43,"continuation","rp","continuation rp",2,0,1193,1193,-0.5,-0.5
"15528",-0.5,"Native 4",31,"continuation","rp","continuation rp",2,0,925,925,-0.5,-0.5
"15531",-0.5,"Native 4",32,"continuation","rp","continuation rp",3,1,0,NA,0.5,0.5
"15534",-0.5,"Native 4",25,"continuation","rp","continuation rp",4,0,703,703,-0.5,0.5
"15535",-0.5,"Native 4",34,"continuation","rp","continuation rp",1,0,1241,1241,0.5,-0.5
"15542",-0.5,"Native 4",28,"continuation","rp","continuation rp",3,0,803,803,0.5,0.5
"15544",-0.5,"Native 4",29,"continuation","rp","continuation rp",4,0,720,720,-0.5,0.5
"15549",-0.5,"Native 5",46,"continuation","rp","continuation rp",2,0,304,304,-0.5,-0.5
"15550",-0.5,"Native 5",32,"continuation","rp","continuation rp",4,0,761,761,-0.5,0.5
"15551",-0.5,"Native 5",45,"continuation","rp","continuation rp",1,0,888,888,0.5,-0.5
"15552",-0.5,"Native 5",33,"continuation","rp","continuation rp",1,0,603,603,0.5,-0.5
"15555",-0.5,"Native 5",26,"continuation","rp","continuation rp",2,0,452,452,-0.5,-0.5
"15557",-0.5,"Native 5",47,"continuation","rp","continuation rp",3,0,450,450,0.5,0.5
"15559",-0.5,"Native 5",39,"continuation","rp","continuation rp",3,0,320,320,0.5,0.5
"15560",-0.5,"Native 5",44,"continuation","rp","continuation rp",4,0,440,440,-0.5,0.5
"15561",-0.5,"Native 5",28,"continuation","rp","continuation rp",4,0,371,371,-0.5,0.5
"15562",-0.5,"Native 5",48,"continuation","rp","continuation rp",4,0,225,225,-0.5,0.5
"15563",-0.5,"Native 5",29,"continuation","rp","continuation rp",1,0,1812,1812,0.5,-0.5
"15564",-0.5,"Native 5",35,"continuation","rp","continuation rp",3,0,568,568,0.5,0.5
"15566",-0.5,"Native 5",25,"continuation","rp","continuation rp",1,0,153,153,0.5,-0.5
"15567",-0.5,"Native 5",31,"continuation","rp","continuation rp",3,0,329,329,0.5,0.5
"15568",-0.5,"Native 5",42,"continuation","rp","continuation rp",2,0,620,620,-0.5,-0.5
"15569",-0.5,"Native 5",43,"continuation","rp","continuation rp",3,0,293,293,0.5,0.5
"15574",-0.5,"Native 5",37,"continuation","rp","continuation rp",1,0,334,334,0.5,-0.5
"15576",-0.5,"Native 5",27,"continuation","rp","continuation rp",3,0,262,262,0.5,0.5
"15577",-0.5,"Native 5",36,"continuation","rp","continuation rp",4,0,463,463,-0.5,0.5
"15579",-0.5,"Native 5",40,"continuation","rp","continuation rp",4,0,259,259,-0.5,0.5
"15580",-0.5,"Native 5",41,"continuation","rp","continuation rp",1,0,420,420,0.5,-0.5
"15581",-0.5,"Native 5",34,"continuation","rp","continuation rp",2,0,383,383,-0.5,-0.5
"15584",-0.5,"Native 5",38,"continuation","rp","continuation rp",2,0,409,409,-0.5,-0.5
"15592",-0.5,"Native 5",30,"continuation","rp","continuation rp",2,0,276,276,-0.5,-0.5
"15594",-0.5,"Native 6",40,"continuation","rp","continuation rp",1,0,836,836,0.5,-0.5
"15595",-0.5,"Native 6",45,"continuation","rp","continuation rp",2,0,310,310,-0.5,-0.5
"15598",-0.5,"Native 6",35,"continuation","rp","continuation rp",4,0,416,416,-0.5,0.5
"15600",-0.5,"Native 6",36,"continuation","rp","continuation rp",1,0,313,313,0.5,-0.5
