"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"9597",-0.5,"Native 1",45,"disamb","rp","disamb rp",1,0,2462,2462,0.5,-0.5
"9598",-0.5,"Native 1",29,"disamb","rp","disamb rp",1,0,1303,1303,0.5,-0.5
"9601",-0.5,"Native 1",34,"disamb","rp","disamb rp",2,1,0,NA,-0.5,-0.5
"9604",-0.5,"Native 1",36,"disamb","rp","disamb rp",4,0,357,357,-0.5,0.5
"9606",-0.5,"Native 1",25,"disamb","rp","disamb rp",1,0,448,448,0.5,-0.5
"9608",-0.5,"Native 1",42,"disamb","rp","disamb rp",2,0,181,181,-0.5,-0.5
"9612",-0.5,"Native 1",41,"disamb","rp","disamb rp",1,0,756,756,0.5,-0.5
"9614",-0.5,"Native 1",46,"disamb","rp","disamb rp",2,0,388,388,-0.5,-0.5
"9616",-0.5,"Native 1",47,"disamb","rp","disamb rp",3,0,431,431,0.5,0.5
"9618",-0.5,"Native 1",39,"disamb","rp","disamb rp",3,0,802,802,0.5,0.5
"9619",-0.5,"Native 1",35,"disamb","rp","disamb rp",3,0,297,297,0.5,0.5
"9621",-0.5,"Native 1",48,"disamb","rp","disamb rp",4,0,744,744,-0.5,0.5
"9622",-0.5,"Native 1",27,"disamb","rp","disamb rp",3,0,291,291,0.5,0.5
"9624",-0.5,"Native 1",31,"disamb","rp","disamb rp",3,0,1423,1423,0.5,0.5
"9627",-0.5,"Native 1",40,"disamb","rp","disamb rp",4,1,0,NA,-0.5,0.5
"9628",-0.5,"Native 1",38,"disamb","rp","disamb rp",2,0,1021,1021,-0.5,-0.5
"9629",-0.5,"Native 1",30,"disamb","rp","disamb rp",2,0,456,456,-0.5,-0.5
"9631",-0.5,"Native 1",32,"disamb","rp","disamb rp",4,0,515,515,-0.5,0.5
"9635",-0.5,"Native 1",44,"disamb","rp","disamb rp",4,0,686,686,-0.5,0.5
"9636",-0.5,"Native 1",37,"disamb","rp","disamb rp",1,0,361,361,0.5,-0.5
"9637",-0.5,"Native 1",28,"disamb","rp","disamb rp",4,0,857,857,-0.5,0.5
"9640",-0.5,"Native 1",26,"disamb","rp","disamb rp",2,0,614,614,-0.5,-0.5
"9641",-0.5,"Native 1",33,"disamb","rp","disamb rp",1,0,480,480,0.5,-0.5
"9643",-0.5,"Native 1",43,"disamb","rp","disamb rp",3,0,1186,1186,0.5,0.5
"9644",-0.5,"Native 2",45,"disamb","rp","disamb rp",2,0,4214,4214,-0.5,-0.5
"9645",-0.5,"Native 2",39,"disamb","rp","disamb rp",4,0,1185,1185,-0.5,0.5
"9646",-0.5,"Native 2",48,"disamb","rp","disamb rp",1,0,1884,1884,0.5,-0.5
"9652",-0.5,"Native 2",32,"disamb","rp","disamb rp",1,0,512,512,0.5,-0.5
"9653",-0.5,"Native 2",26,"disamb","rp","disamb rp",3,0,5048,5048,0.5,0.5
"9654",-0.5,"Native 2",42,"disamb","rp","disamb rp",3,0,1233,1233,0.5,0.5
"9657",-0.5,"Native 2",37,"disamb","rp","disamb rp",2,0,142,142,-0.5,-0.5
"9658",-0.5,"Native 2",31,"disamb","rp","disamb rp",4,0,522,522,-0.5,0.5
"9661",-0.5,"Native 2",25,"disamb","rp","disamb rp",2,0,1407,1407,-0.5,-0.5
"9662",-0.5,"Native 2",38,"disamb","rp","disamb rp",3,0,1306,1306,0.5,0.5
"9663",-0.5,"Native 2",35,"disamb","rp","disamb rp",4,0,969,969,-0.5,0.5
"9664",-0.5,"Native 2",41,"disamb","rp","disamb rp",2,0,296,296,-0.5,-0.5
"9666",-0.5,"Native 2",34,"disamb","rp","disamb rp",3,0,240,240,0.5,0.5
"9667",-0.5,"Native 2",43,"disamb","rp","disamb rp",4,0,2409,2409,-0.5,0.5
"9669",-0.5,"Native 2",33,"disamb","rp","disamb rp",2,0,2808,2808,-0.5,-0.5
"9670",-0.5,"Native 2",40,"disamb","rp","disamb rp",1,0,250,250,0.5,-0.5
"9673",-0.5,"Native 2",30,"disamb","rp","disamb rp",3,0,1185,1185,0.5,0.5
"9674",-0.5,"Native 2",27,"disamb","rp","disamb rp",4,0,221,221,-0.5,0.5
"9677",-0.5,"Native 2",36,"disamb","rp","disamb rp",1,0,163,163,0.5,-0.5
"9678",-0.5,"Native 2",28,"disamb","rp","disamb rp",1,0,1356,1356,0.5,-0.5
"9682",-0.5,"Native 2",44,"disamb","rp","disamb rp",1,0,259,259,0.5,-0.5
"9683",-0.5,"Native 2",29,"disamb","rp","disamb rp",2,0,2618,2618,-0.5,-0.5
"9687",-0.5,"Native 2",47,"disamb","rp","disamb rp",4,0,258,258,-0.5,0.5
"9689",-0.5,"Native 2",46,"disamb","rp","disamb rp",3,0,1369,1369,0.5,0.5
"9692",-0.5,"Native 3",46,"disamb","rp","disamb rp",4,0,335,335,-0.5,0.5
