"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"7678",-0.5,"Native 1",45,"spillover","fp","spillover fp",1,0,524,524,0.5,-0.5
"7679",-0.5,"Native 1",29,"spillover","fp","spillover fp",1,0,335,335,0.5,-0.5
"7682",-0.5,"Native 1",34,"spillover","fp","spillover fp",2,0,547,547,-0.5,-0.5
"7685",-0.5,"Native 1",36,"spillover","fp","spillover fp",4,0,383,383,-0.5,0.5
"7687",-0.5,"Native 1",25,"spillover","fp","spillover fp",1,0,288,288,0.5,-0.5
"7689",-0.5,"Native 1",42,"spillover","fp","spillover fp",2,0,328,328,-0.5,-0.5
"7693",-0.5,"Native 1",41,"spillover","fp","spillover fp",1,0,257,257,0.5,-0.5
"7695",-0.5,"Native 1",46,"spillover","fp","spillover fp",2,0,312,312,-0.5,-0.5
"7697",-0.5,"Native 1",47,"spillover","fp","spillover fp",3,1,0,NA,0.5,0.5
"7699",-0.5,"Native 1",39,"spillover","fp","spillover fp",3,0,787,787,0.5,0.5
"7700",-0.5,"Native 1",35,"spillover","fp","spillover fp",3,0,715,715,0.5,0.5
"7702",-0.5,"Native 1",48,"spillover","fp","spillover fp",4,0,459,459,-0.5,0.5
"7703",-0.5,"Native 1",27,"spillover","fp","spillover fp",3,0,312,312,0.5,0.5
"7705",-0.5,"Native 1",31,"spillover","fp","spillover fp",3,0,310,310,0.5,0.5
"7708",-0.5,"Native 1",40,"spillover","fp","spillover fp",4,0,1448,1448,-0.5,0.5
"7709",-0.5,"Native 1",38,"spillover","fp","spillover fp",2,0,560,560,-0.5,-0.5
"7710",-0.5,"Native 1",30,"spillover","fp","spillover fp",2,0,772,772,-0.5,-0.5
"7712",-0.5,"Native 1",32,"spillover","fp","spillover fp",4,0,606,606,-0.5,0.5
"7716",-0.5,"Native 1",44,"spillover","fp","spillover fp",4,0,261,261,-0.5,0.5
"7717",-0.5,"Native 1",37,"spillover","fp","spillover fp",1,0,177,177,0.5,-0.5
"7718",-0.5,"Native 1",28,"spillover","fp","spillover fp",4,0,484,484,-0.5,0.5
"7721",-0.5,"Native 1",26,"spillover","fp","spillover fp",2,0,867,867,-0.5,-0.5
"7722",-0.5,"Native 1",33,"spillover","fp","spillover fp",1,0,1399,1399,0.5,-0.5
"7724",-0.5,"Native 1",43,"spillover","fp","spillover fp",3,1,0,NA,0.5,0.5
"7725",-0.5,"Native 2",45,"spillover","fp","spillover fp",2,0,131,131,-0.5,-0.5
