"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"17273",-0.5,"Native 1",45,"spillover","rp","spillover rp",1,0,524,524,0.5,-0.5
"17274",-0.5,"Native 1",29,"spillover","rp","spillover rp",1,0,335,335,0.5,-0.5
"17277",-0.5,"Native 1",34,"spillover","rp","spillover rp",2,0,547,547,-0.5,-0.5
"17280",-0.5,"Native 1",36,"spillover","rp","spillover rp",4,0,383,383,-0.5,0.5
"17282",-0.5,"Native 1",25,"spillover","rp","spillover rp",1,0,892,892,0.5,-0.5
"17284",-0.5,"Native 1",42,"spillover","rp","spillover rp",2,0,328,328,-0.5,-0.5
"17288",-0.5,"Native 1",41,"spillover","rp","spillover rp",1,0,257,257,0.5,-0.5
"17290",-0.5,"Native 1",46,"spillover","rp","spillover rp",2,0,312,312,-0.5,-0.5
"17292",-0.5,"Native 1",47,"spillover","rp","spillover rp",3,1,0,NA,0.5,0.5
"17294",-0.5,"Native 1",39,"spillover","rp","spillover rp",3,0,787,787,0.5,0.5
"17295",-0.5,"Native 1",35,"spillover","rp","spillover rp",3,0,715,715,0.5,0.5
"17297",-0.5,"Native 1",48,"spillover","rp","spillover rp",4,0,459,459,-0.5,0.5
"17298",-0.5,"Native 1",27,"spillover","rp","spillover rp",3,0,312,312,0.5,0.5
"17300",-0.5,"Native 1",31,"spillover","rp","spillover rp",3,0,310,310,0.5,0.5
"17303",-0.5,"Native 1",40,"spillover","rp","spillover rp",4,0,1448,1448,-0.5,0.5
"17304",-0.5,"Native 1",38,"spillover","rp","spillover rp",2,0,560,560,-0.5,-0.5
"17305",-0.5,"Native 1",30,"spillover","rp","spillover rp",2,0,772,772,-0.5,-0.5
"17307",-0.5,"Native 1",32,"spillover","rp","spillover rp",4,0,606,606,-0.5,0.5
"17311",-0.5,"Native 1",44,"spillover","rp","spillover rp",4,0,261,261,-0.5,0.5
"17312",-0.5,"Native 1",37,"spillover","rp","spillover rp",1,0,177,177,0.5,-0.5
"17313",-0.5,"Native 1",28,"spillover","rp","spillover rp",4,0,484,484,-0.5,0.5
"17316",-0.5,"Native 1",26,"spillover","rp","spillover rp",2,0,867,867,-0.5,-0.5
"17317",-0.5,"Native 1",33,"spillover","rp","spillover rp",1,0,1399,1399,0.5,-0.5
"17319",-0.5,"Native 1",43,"spillover","rp","spillover rp",3,1,0,NA,0.5,0.5
"17320",-0.5,"Native 2",45,"spillover","rp","spillover rp",2,0,1600,1600,-0.5,-0.5
"17321",-0.5,"Native 2",39,"spillover","rp","spillover rp",4,0,170,170,-0.5,0.5
"17322",-0.5,"Native 2",48,"spillover","rp","spillover rp",1,0,209,209,0.5,-0.5
"17328",-0.5,"Native 2",32,"spillover","rp","spillover rp",1,0,1385,1385,0.5,-0.5
"17329",-0.5,"Native 2",26,"spillover","rp","spillover rp",3,0,449,449,0.5,0.5
"17330",-0.5,"Native 2",42,"spillover","rp","spillover rp",3,1,0,NA,0.5,0.5
"17333",-0.5,"Native 2",37,"spillover","rp","spillover rp",2,0,168,168,-0.5,-0.5
"17334",-0.5,"Native 2",31,"spillover","rp","spillover rp",4,1,0,NA,-0.5,0.5
"17337",-0.5,"Native 2",25,"spillover","rp","spillover rp",2,1,0,NA,-0.5,-0.5
"17338",-0.5,"Native 2",38,"spillover","rp","spillover rp",3,0,195,195,0.5,0.5
"17339",-0.5,"Native 2",35,"spillover","rp","spillover rp",4,0,184,184,-0.5,0.5
"17340",-0.5,"Native 2",41,"spillover","rp","spillover rp",2,0,198,198,-0.5,-0.5
"17342",-0.5,"Native 2",34,"spillover","rp","spillover rp",3,0,1113,1113,0.5,0.5
"17343",-0.5,"Native 2",43,"spillover","rp","spillover rp",4,1,0,NA,-0.5,0.5
"17345",-0.5,"Native 2",33,"spillover","rp","spillover rp",2,0,248,248,-0.5,-0.5
"17346",-0.5,"Native 2",40,"spillover","rp","spillover rp",1,0,337,337,0.5,-0.5
"17349",-0.5,"Native 2",30,"spillover","rp","spillover rp",3,0,200,200,0.5,0.5
"17350",-0.5,"Native 2",27,"spillover","rp","spillover rp",4,0,597,597,-0.5,0.5
"17353",-0.5,"Native 2",36,"spillover","rp","spillover rp",1,0,174,174,0.5,-0.5
"17354",-0.5,"Native 2",28,"spillover","rp","spillover rp",1,0,182,182,0.5,-0.5
"17358",-0.5,"Native 2",44,"spillover","rp","spillover rp",1,0,178,178,0.5,-0.5
"17359",-0.5,"Native 2",29,"spillover","rp","spillover rp",2,0,231,231,-0.5,-0.5
"17363",-0.5,"Native 2",47,"spillover","rp","spillover rp",4,1,0,NA,-0.5,0.5
"17365",-0.5,"Native 2",46,"spillover","rp","spillover rp",3,0,529,529,0.5,0.5
"17368",-0.5,"Native 3",46,"spillover","rp","spillover rp",4,0,449,449,-0.5,0.5
"17369",-0.5,"Native 3",43,"spillover","rp","spillover rp",1,0,248,248,0.5,-0.5
"17371",-0.5,"Native 3",39,"spillover","rp","spillover rp",1,0,866,866,0.5,-0.5
"17372",-0.5,"Native 3",33,"spillover","rp","spillover rp",3,0,740,740,0.5,0.5
"17374",-0.5,"Native 3",31,"spillover","rp","spillover rp",1,0,211,211,0.5,-0.5
"17375",-0.5,"Native 3",29,"spillover","rp","spillover rp",3,0,459,459,0.5,0.5
"17376",-0.5,"Native 3",44,"spillover","rp","spillover rp",2,0,161,161,-0.5,-0.5
"17381",-0.5,"Native 3",27,"spillover","rp","spillover rp",1,0,416,416,0.5,-0.5
"17384",-0.5,"Native 3",45,"spillover","rp","spillover rp",3,0,756,756,0.5,0.5
"17385",-0.5,"Native 3",37,"spillover","rp","spillover rp",3,0,325,325,0.5,0.5
"17386",-0.5,"Native 3",36,"spillover","rp","spillover rp",2,1,0,NA,-0.5,-0.5
"17387",-0.5,"Native 3",32,"spillover","rp","spillover rp",2,0,640,640,-0.5,-0.5
"17388",-0.5,"Native 3",25,"spillover","rp","spillover rp",3,0,314,314,0.5,0.5
"17389",-0.5,"Native 3",26,"spillover","rp","spillover rp",4,0,725,725,-0.5,0.5
"17390",-0.5,"Native 3",30,"spillover","rp","spillover rp",4,0,305,305,-0.5,0.5
"17391",-0.5,"Native 3",28,"spillover","rp","spillover rp",2,0,741,741,-0.5,-0.5
"17395",-0.5,"Native 3",47,"spillover","rp","spillover rp",1,0,539,539,0.5,-0.5
"17401",-0.5,"Native 3",48,"spillover","rp","spillover rp",2,0,897,897,-0.5,-0.5
"17403",-0.5,"Native 3",34,"spillover","rp","spillover rp",4,0,869,869,-0.5,0.5
"17404",-0.5,"Native 3",38,"spillover","rp","spillover rp",4,0,594,594,-0.5,0.5
"17405",-0.5,"Native 3",42,"spillover","rp","spillover rp",4,0,354,354,-0.5,0.5
"17406",-0.5,"Native 3",35,"spillover","rp","spillover rp",1,0,331,331,0.5,-0.5
"17410",-0.5,"Native 3",40,"spillover","rp","spillover rp",2,0,427,427,-0.5,-0.5
"17413",-0.5,"Native 3",41,"spillover","rp","spillover rp",3,0,430,430,0.5,0.5
