"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"26868",-0.5,"Native 1",45,"spillover","tt","spillover tt",1,0,763,763,0.5,-0.5
"26869",-0.5,"Native 1",29,"spillover","tt","spillover tt",1,0,604,604,0.5,-0.5
"26872",-0.5,"Native 1",34,"spillover","tt","spillover tt",2,0,740,740,-0.5,-0.5
"26875",-0.5,"Native 1",36,"spillover","tt","spillover tt",4,0,640,640,-0.5,0.5
"26877",-0.5,"Native 1",25,"spillover","tt","spillover tt",1,0,613,613,0.5,-0.5
"26879",-0.5,"Native 1",42,"spillover","tt","spillover tt",2,0,328,328,-0.5,-0.5
"26883",-0.5,"Native 1",41,"spillover","tt","spillover tt",1,0,257,257,0.5,-0.5
"26885",-0.5,"Native 1",46,"spillover","tt","spillover tt",2,0,536,536,-0.5,-0.5
"26887",-0.5,"Native 1",47,"spillover","tt","spillover tt",3,0,423,423,0.5,0.5
"26889",-0.5,"Native 1",39,"spillover","tt","spillover tt",3,0,787,787,0.5,0.5
"26890",-0.5,"Native 1",35,"spillover","tt","spillover tt",3,0,1008,1008,0.5,0.5
"26892",-0.5,"Native 1",48,"spillover","tt","spillover tt",4,0,459,459,-0.5,0.5
"26893",-0.5,"Native 1",27,"spillover","tt","spillover tt",3,0,312,312,0.5,0.5
"26895",-0.5,"Native 1",31,"spillover","tt","spillover tt",3,0,310,310,0.5,0.5
"26898",-0.5,"Native 1",40,"spillover","tt","spillover tt",4,0,1448,1448,-0.5,0.5
"26899",-0.5,"Native 1",38,"spillover","tt","spillover tt",2,0,687,687,-0.5,-0.5
"26900",-0.5,"Native 1",30,"spillover","tt","spillover tt",2,0,970,970,-0.5,-0.5
"26902",-0.5,"Native 1",32,"spillover","tt","spillover tt",4,0,606,606,-0.5,0.5
"26906",-0.5,"Native 1",44,"spillover","tt","spillover tt",4,0,381,381,-0.5,0.5
"26907",-0.5,"Native 1",37,"spillover","tt","spillover tt",1,0,338,338,0.5,-0.5
"26908",-0.5,"Native 1",28,"spillover","tt","spillover tt",4,0,484,484,-0.5,0.5
"26911",-0.5,"Native 1",26,"spillover","tt","spillover tt",2,0,867,867,-0.5,-0.5
"26912",-0.5,"Native 1",33,"spillover","tt","spillover tt",1,0,1399,1399,0.5,-0.5
