"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"5758",-0.5,"Native 1",6,"continuation","fp","continuation fp",2,0,270,270,-0.5,-0.5
"5761",-0.5,"Native 1",1,"continuation","fp","continuation fp",1,0,132,132,0.5,-0.5
"5762",-0.5,"Native 1",16,"continuation","fp","continuation fp",4,0,225,225,-0.5,0.5
"5764",-0.5,"Native 1",13,"continuation","fp","continuation fp",1,0,311,311,0.5,-0.5
"5765",-0.5,"Native 1",3,"continuation","fp","continuation fp",3,1,0,NA,0.5,0.5
"5767",-0.5,"Native 1",10,"continuation","fp","continuation fp",2,0,989,989,-0.5,-0.5
"5769",-0.5,"Native 1",7,"continuation","fp","continuation fp",3,0,373,373,0.5,0.5
"5771",-0.5,"Native 1",20,"continuation","fp","continuation fp",4,0,375,375,-0.5,0.5
"5772",-0.5,"Native 1",4,"continuation","fp","continuation fp",4,0,405,405,-0.5,0.5
"5773",-0.5,"Native 1",8,"continuation","fp","continuation fp",4,0,197,197,-0.5,0.5
"5775",-0.5,"Native 1",15,"continuation","fp","continuation fp",3,0,176,176,0.5,0.5
"5777",-0.5,"Native 1",22,"continuation","fp","continuation fp",2,0,397,397,-0.5,-0.5
"5779",-0.5,"Native 1",19,"continuation","fp","continuation fp",3,0,270,270,0.5,0.5
"5782",-0.5,"Native 1",12,"continuation","fp","continuation fp",4,0,564,564,-0.5,0.5
"5785",-0.5,"Native 1",23,"continuation","fp","continuation fp",3,0,548,548,0.5,0.5
"5787",-0.5,"Native 1",17,"continuation","fp","continuation fp",1,0,265,265,0.5,-0.5
"5788",-0.5,"Native 1",21,"continuation","fp","continuation fp",1,0,198,198,0.5,-0.5
"5792",-0.5,"Native 1",24,"continuation","fp","continuation fp",4,0,755,755,-0.5,0.5
"5794",-0.5,"Native 1",14,"continuation","fp","continuation fp",2,0,270,270,-0.5,-0.5
"5795",-0.5,"Native 1",11,"continuation","fp","continuation fp",3,0,321,321,0.5,0.5
"5796",-0.5,"Native 1",9,"continuation","fp","continuation fp",1,0,240,240,0.5,-0.5
"5800",-0.5,"Native 1",5,"continuation","fp","continuation fp",1,0,174,174,0.5,-0.5
"5801",-0.5,"Native 1",2,"continuation","fp","continuation fp",2,0,410,410,-0.5,-0.5
"5804",-0.5,"Native 1",18,"continuation","fp","continuation fp",2,0,312,312,-0.5,-0.5
"5809",-0.5,"Native 2",20,"continuation","fp","continuation fp",1,0,201,201,0.5,-0.5
"5810",-0.5,"Native 2",5,"continuation","fp","continuation fp",2,0,169,169,-0.5,-0.5
"5811",-0.5,"Native 2",12,"continuation","fp","continuation fp",1,0,188,188,0.5,-0.5
