"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"19191",-0.5,"Native 1",6,"disamb","tt","disamb tt",2,0,530,530,-0.5,-0.5
"19194",-0.5,"Native 1",1,"disamb","tt","disamb tt",1,0,1038,1038,0.5,-0.5
"19195",-0.5,"Native 1",16,"disamb","tt","disamb tt",4,0,600,600,-0.5,0.5
"19197",-0.5,"Native 1",13,"disamb","tt","disamb tt",1,0,1281,1281,0.5,-0.5
"19198",-0.5,"Native 1",3,"disamb","tt","disamb tt",3,0,622,622,0.5,0.5
"19200",-0.5,"Native 1",10,"disamb","tt","disamb tt",2,0,211,211,-0.5,-0.5
"19202",-0.5,"Native 1",7,"disamb","tt","disamb tt",3,0,638,638,0.5,0.5
"19204",-0.5,"Native 1",20,"disamb","tt","disamb tt",4,0,231,231,-0.5,0.5
"19205",-0.5,"Native 1",4,"disamb","tt","disamb tt",4,0,254,254,-0.5,0.5
"19206",-0.5,"Native 1",8,"disamb","tt","disamb tt",4,0,1131,1131,-0.5,0.5
"19208",-0.5,"Native 1",15,"disamb","tt","disamb tt",3,0,1056,1056,0.5,0.5
"19210",-0.5,"Native 1",22,"disamb","tt","disamb tt",2,0,388,388,-0.5,-0.5
"19212",-0.5,"Native 1",19,"disamb","tt","disamb tt",3,0,1125,1125,0.5,0.5
"19215",-0.5,"Native 1",12,"disamb","tt","disamb tt",4,0,177,177,-0.5,0.5
"19218",-0.5,"Native 1",23,"disamb","tt","disamb tt",3,0,1095,1095,0.5,0.5
"19220",-0.5,"Native 1",17,"disamb","tt","disamb tt",1,0,360,360,0.5,-0.5
"19221",-0.5,"Native 1",21,"disamb","tt","disamb tt",1,0,1199,1199,0.5,-0.5
"19225",-0.5,"Native 1",24,"disamb","tt","disamb tt",4,0,398,398,-0.5,0.5
"19227",-0.5,"Native 1",14,"disamb","tt","disamb tt",2,0,673,673,-0.5,-0.5
"19228",-0.5,"Native 1",11,"disamb","tt","disamb tt",3,0,899,899,0.5,0.5
"19229",-0.5,"Native 1",9,"disamb","tt","disamb tt",1,0,444,444,0.5,-0.5
"19233",-0.5,"Native 1",5,"disamb","tt","disamb tt",1,0,347,347,0.5,-0.5
"19234",-0.5,"Native 1",2,"disamb","tt","disamb tt",2,0,775,775,-0.5,-0.5
"19237",-0.5,"Native 1",18,"disamb","tt","disamb tt",2,0,350,350,-0.5,-0.5
"19242",-0.5,"Native 2",20,"disamb","tt","disamb tt",1,0,740,740,0.5,-0.5
"19243",-0.5,"Native 2",5,"disamb","tt","disamb tt",2,0,843,843,-0.5,-0.5
"19244",-0.5,"Native 2",12,"disamb","tt","disamb tt",1,0,776,776,0.5,-0.5
"19245",-0.5,"Native 2",2,"disamb","tt","disamb tt",3,0,1391,1391,0.5,0.5
"19246",-0.5,"Native 2",9,"disamb","tt","disamb tt",2,0,543,543,-0.5,-0.5
"19250",-0.5,"Native 2",16,"disamb","tt","disamb tt",1,0,927,927,0.5,-0.5
"19251",-0.5,"Native 2",1,"disamb","tt","disamb tt",2,0,543,543,-0.5,-0.5
"19254",-0.5,"Native 2",13,"disamb","tt","disamb tt",2,0,118,118,-0.5,-0.5
"19255",-0.5,"Native 2",10,"disamb","tt","disamb tt",3,0,530,530,0.5,0.5
"19260",-0.5,"Native 2",7,"disamb","tt","disamb tt",4,0,369,369,-0.5,0.5
"19263",-0.5,"Native 2",24,"disamb","tt","disamb tt",1,0,412,412,0.5,-0.5
"19266",-0.5,"Native 2",23,"disamb","tt","disamb tt",4,0,488,488,-0.5,0.5
"19267",-0.5,"Native 2",4,"disamb","tt","disamb tt",1,0,245,245,0.5,-0.5
"19270",-0.5,"Native 2",19,"disamb","tt","disamb tt",4,0,1082,1082,-0.5,0.5
"19271",-0.5,"Native 2",22,"disamb","tt","disamb tt",3,0,201,201,0.5,0.5
"19274",-0.5,"Native 2",8,"disamb","tt","disamb tt",1,0,277,277,0.5,-0.5
"19275",-0.5,"Native 2",3,"disamb","tt","disamb tt",4,0,177,177,-0.5,0.5
"19276",-0.5,"Native 2",17,"disamb","tt","disamb tt",2,0,261,261,-0.5,-0.5
"19279",-0.5,"Native 2",21,"disamb","tt","disamb tt",2,1,0,NA,-0.5,-0.5
"19280",-0.5,"Native 2",14,"disamb","tt","disamb tt",3,0,319,319,0.5,0.5
"19281",-0.5,"Native 2",18,"disamb","tt","disamb tt",3,0,627,627,0.5,0.5
"19283",-0.5,"Native 2",6,"disamb","tt","disamb tt",3,0,105,105,0.5,0.5
"19285",-0.5,"Native 2",11,"disamb","tt","disamb tt",4,0,518,518,-0.5,0.5
"19286",-0.5,"Native 2",15,"disamb","tt","disamb tt",4,0,532,532,-0.5,0.5
"19289",-0.5,"Native 3",18,"disamb","tt","disamb tt",4,0,488,488,-0.5,0.5
"19292",-0.5,"Native 3",4,"disamb","tt","disamb tt",2,0,358,358,-0.5,-0.5
"19296",-0.5,"Native 3",15,"disamb","tt","disamb tt",1,0,905,905,0.5,-0.5
"19297",-0.5,"Native 3",10,"disamb","tt","disamb tt",4,0,689,689,-0.5,0.5
