"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"26867",-0.5,"Native 1",6,"spillover","tt","spillover tt",2,0,462,462,-0.5,-0.5
"26870",-0.5,"Native 1",1,"spillover","tt","spillover tt",1,0,284,284,0.5,-0.5
"26871",-0.5,"Native 1",16,"spillover","tt","spillover tt",4,0,389,389,-0.5,0.5
"26873",-0.5,"Native 1",13,"spillover","tt","spillover tt",1,0,656,656,0.5,-0.5
"26874",-0.5,"Native 1",3,"spillover","tt","spillover tt",3,0,1439,1439,0.5,0.5
"26876",-0.5,"Native 1",10,"spillover","tt","spillover tt",2,0,269,269,-0.5,-0.5
"26878",-0.5,"Native 1",7,"spillover","tt","spillover tt",3,0,710,710,0.5,0.5
"26880",-0.5,"Native 1",20,"spillover","tt","spillover tt",4,0,833,833,-0.5,0.5
"26881",-0.5,"Native 1",4,"spillover","tt","spillover tt",4,0,553,553,-0.5,0.5
"26882",-0.5,"Native 1",8,"spillover","tt","spillover tt",4,0,1164,1164,-0.5,0.5
"26884",-0.5,"Native 1",15,"spillover","tt","spillover tt",3,0,1106,1106,0.5,0.5
"26886",-0.5,"Native 1",22,"spillover","tt","spillover tt",2,0,388,388,-0.5,-0.5
"26888",-0.5,"Native 1",19,"spillover","tt","spillover tt",3,0,558,558,0.5,0.5
"26891",-0.5,"Native 1",12,"spillover","tt","spillover tt",4,0,396,396,-0.5,0.5
"26894",-0.5,"Native 1",23,"spillover","tt","spillover tt",3,0,706,706,0.5,0.5
"26896",-0.5,"Native 1",17,"spillover","tt","spillover tt",1,0,367,367,0.5,-0.5
"26897",-0.5,"Native 1",21,"spillover","tt","spillover tt",1,0,252,252,0.5,-0.5
"26901",-0.5,"Native 1",24,"spillover","tt","spillover tt",4,0,794,794,-0.5,0.5
"26903",-0.5,"Native 1",14,"spillover","tt","spillover tt",2,0,377,377,-0.5,-0.5
"26904",-0.5,"Native 1",11,"spillover","tt","spillover tt",3,0,1083,1083,0.5,0.5
"26905",-0.5,"Native 1",9,"spillover","tt","spillover tt",1,0,1256,1256,0.5,-0.5
"26909",-0.5,"Native 1",5,"spillover","tt","spillover tt",1,0,1041,1041,0.5,-0.5
"26910",-0.5,"Native 1",2,"spillover","tt","spillover tt",2,0,380,380,-0.5,-0.5
"26913",-0.5,"Native 1",18,"spillover","tt","spillover tt",2,0,610,610,-0.5,-0.5
"26918",-0.5,"Native 2",20,"spillover","tt","spillover tt",1,0,1316,1316,0.5,-0.5
"26919",-0.5,"Native 2",5,"spillover","tt","spillover tt",2,0,733,733,-0.5,-0.5
"26920",-0.5,"Native 2",12,"spillover","tt","spillover tt",1,0,179,179,0.5,-0.5
"26921",-0.5,"Native 2",2,"spillover","tt","spillover tt",3,0,1456,1456,0.5,0.5
"26922",-0.5,"Native 2",9,"spillover","tt","spillover tt",2,0,987,987,-0.5,-0.5
"26926",-0.5,"Native 2",16,"spillover","tt","spillover tt",1,0,533,533,0.5,-0.5
"26927",-0.5,"Native 2",1,"spillover","tt","spillover tt",2,0,892,892,-0.5,-0.5
"26930",-0.5,"Native 2",13,"spillover","tt","spillover tt",2,0,397,397,-0.5,-0.5
"26931",-0.5,"Native 2",10,"spillover","tt","spillover tt",3,0,1098,1098,0.5,0.5
"26936",-0.5,"Native 2",7,"spillover","tt","spillover tt",4,0,1719,1719,-0.5,0.5
"26939",-0.5,"Native 2",24,"spillover","tt","spillover tt",1,0,588,588,0.5,-0.5
"26942",-0.5,"Native 2",23,"spillover","tt","spillover tt",4,0,515,515,-0.5,0.5
"26943",-0.5,"Native 2",4,"spillover","tt","spillover tt",1,0,650,650,0.5,-0.5
"26946",-0.5,"Native 2",19,"spillover","tt","spillover tt",4,0,1310,1310,-0.5,0.5
"26947",-0.5,"Native 2",22,"spillover","tt","spillover tt",3,0,399,399,0.5,0.5
"26950",-0.5,"Native 2",8,"spillover","tt","spillover tt",1,0,218,218,0.5,-0.5
"26951",-0.5,"Native 2",3,"spillover","tt","spillover tt",4,0,702,702,-0.5,0.5
"26952",-0.5,"Native 2",17,"spillover","tt","spillover tt",2,0,590,590,-0.5,-0.5
"26955",-0.5,"Native 2",21,"spillover","tt","spillover tt",2,0,463,463,-0.5,-0.5
"26956",-0.5,"Native 2",14,"spillover","tt","spillover tt",3,0,624,624,0.5,0.5
"26957",-0.5,"Native 2",18,"spillover","tt","spillover tt",3,0,382,382,0.5,0.5
"26959",-0.5,"Native 2",6,"spillover","tt","spillover tt",3,0,556,556,0.5,0.5
"26961",-0.5,"Native 2",11,"spillover","tt","spillover tt",4,1,0,NA,-0.5,0.5
"26962",-0.5,"Native 2",15,"spillover","tt","spillover tt",4,0,807,807,-0.5,0.5
"26965",-0.5,"Native 3",18,"spillover","tt","spillover tt",4,0,922,922,-0.5,0.5
"26968",-0.5,"Native 3",4,"spillover","tt","spillover tt",2,0,753,753,-0.5,-0.5
"26972",-0.5,"Native 3",15,"spillover","tt","spillover tt",1,0,425,425,0.5,-0.5
"26973",-0.5,"Native 3",10,"spillover","tt","spillover tt",4,0,1242,1242,-0.5,0.5
"26974",-0.5,"Native 3",23,"spillover","tt","spillover tt",1,0,1964,1964,0.5,-0.5
"26975",-0.5,"Native 3",17,"spillover","tt","spillover tt",3,0,598,598,0.5,0.5
"26977",-0.5,"Native 3",9,"spillover","tt","spillover tt",3,0,1294,1294,0.5,0.5
"26978",-0.5,"Native 3",22,"spillover","tt","spillover tt",4,0,422,422,-0.5,0.5
"26987",-0.5,"Native 3",13,"spillover","tt","spillover tt",3,0,874,874,0.5,0.5
"26988",-0.5,"Native 3",1,"spillover","tt","spillover tt",3,0,681,681,0.5,0.5
"26989",-0.5,"Native 3",5,"spillover","tt","spillover tt",3,0,1391,1391,0.5,0.5
"26991",-0.5,"Native 3",11,"spillover","tt","spillover tt",1,0,881,881,0.5,-0.5
"26992",-0.5,"Native 3",16,"spillover","tt","spillover tt",2,0,185,185,-0.5,-0.5
"26993",-0.5,"Native 3",6,"spillover","tt","spillover tt",4,0,572,572,-0.5,0.5
"26994",-0.5,"Native 3",21,"spillover","tt","spillover tt",3,0,263,263,0.5,0.5
"26995",-0.5,"Native 3",3,"spillover","tt","spillover tt",1,0,944,944,0.5,-0.5
"26997",-0.5,"Native 3",7,"spillover","tt","spillover tt",1,0,1989,1989,0.5,-0.5
"27002",-0.5,"Native 3",14,"spillover","tt","spillover tt",4,0,396,396,-0.5,0.5
"27003",-0.5,"Native 3",19,"spillover","tt","spillover tt",1,0,433,433,0.5,-0.5
"27004",-0.5,"Native 3",20,"spillover","tt","spillover tt",2,0,800,800,-0.5,-0.5
"27006",-0.5,"Native 3",8,"spillover","tt","spillover tt",2,0,398,398,-0.5,-0.5
"27007",-0.5,"Native 3",2,"spillover","tt","spillover tt",4,0,708,708,-0.5,0.5
"27009",-0.5,"Native 3",24,"spillover","tt","spillover tt",2,0,429,429,-0.5,-0.5
"27010",-0.5,"Native 3",12,"spillover","tt","spillover tt",2,0,1110,1110,-0.5,-0.5
"27011",-0.5,"Native 4",5,"spillover","tt","spillover tt",4,0,568,568,-0.5,0.5
"27012",-0.5,"Native 4",10,"spillover","tt","spillover tt",1,0,334,334,0.5,-0.5
"27015",-0.5,"Native 4",12,"spillover","tt","spillover tt",3,0,689,689,0.5,0.5
"27016",-0.5,"Native 4",14,"spillover","tt","spillover tt",1,0,899,899,0.5,-0.5
"27019",-0.5,"Native 4",11,"spillover","tt","spillover tt",2,0,1144,1144,-0.5,-0.5
"27021",-0.5,"Native 4",18,"spillover","tt","spillover tt",1,0,1080,1080,0.5,-0.5
"27022",-0.5,"Native 4",7,"spillover","tt","spillover tt",2,0,901,901,-0.5,-0.5
"27024",-0.5,"Native 4",20,"spillover","tt","spillover tt",3,0,591,591,0.5,0.5
"27025",-0.5,"Native 4",22,"spillover","tt","spillover tt",1,0,351,351,0.5,-0.5
"27028",-0.5,"Native 4",16,"spillover","tt","spillover tt",3,0,579,579,0.5,0.5
"27029",-0.5,"Native 4",17,"spillover","tt","spillover tt",4,0,658,658,-0.5,0.5
"27033",-0.5,"Native 4",2,"spillover","tt","spillover tt",1,0,1758,1758,0.5,-0.5
"27034",-0.5,"Native 4",8,"spillover","tt","spillover tt",3,0,744,744,0.5,0.5
"27043",-0.5,"Native 4",23,"spillover","tt","spillover tt",2,0,846,846,-0.5,-0.5
"27044",-0.5,"Native 4",4,"spillover","tt","spillover tt",3,0,1335,1335,0.5,0.5
"27046",-0.5,"Native 4",21,"spillover","tt","spillover tt",4,0,251,251,-0.5,0.5
"27047",-0.5,"Native 4",9,"spillover","tt","spillover tt",4,0,1257,1257,-0.5,0.5
"27050",-0.5,"Native 4",3,"spillover","tt","spillover tt",2,0,1214,1214,-0.5,-0.5
"27051",-0.5,"Native 4",1,"spillover","tt","spillover tt",4,0,345,345,-0.5,0.5
"27052",-0.5,"Native 4",19,"spillover","tt","spillover tt",2,0,557,557,-0.5,-0.5
"27053",-0.5,"Native 4",13,"spillover","tt","spillover tt",4,0,1076,1076,-0.5,0.5
"27054",-0.5,"Native 4",6,"spillover","tt","spillover tt",1,0,1745,1745,0.5,-0.5
"27055",-0.5,"Native 4",24,"spillover","tt","spillover tt",3,0,432,432,0.5,0.5
"27057",-0.5,"Native 4",15,"spillover","tt","spillover tt",2,0,1032,1032,-0.5,-0.5
"27059",-0.5,"Native 5",13,"spillover","tt","spillover tt",1,0,565,565,0.5,-0.5
"27060",-0.5,"Native 5",6,"spillover","tt","spillover tt",2,0,173,173,-0.5,-0.5
"27061",-0.5,"Native 5",21,"spillover","tt","spillover tt",1,0,525,525,0.5,-0.5
"27062",-0.5,"Native 5",24,"spillover","tt","spillover tt",4,0,693,693,-0.5,0.5
"27067",-0.5,"Native 5",11,"spillover","tt","spillover tt",3,0,317,317,0.5,0.5
"27068",-0.5,"Native 5",18,"spillover","tt","spillover tt",2,0,241,241,-0.5,-0.5
"27070",-0.5,"Native 5",16,"spillover","tt","spillover tt",4,0,185,185,-0.5,0.5
